Opportunity,Abbr,Tier,Industry Context,Pipeline,Role Title,Opportunity Name,Opportunity Type,Listing Type,Deadline / Cycle,URL,URL Status,Review Status,Notes,Last Checked,Publish Status
International Documentary Association,IDA,Tier 1,Documentary Film/Series,Development,Grants/Funding Assistant,IDA Documentary Labs,Lab/Fellowship,Static Program,Annual-Fall,https://www.documentary.org/funding,OK 200,NEEDS REVIEW,Pare Lorentz Documentary Fund — supports full-length docs. Apply via documentary.org,"4/20/2026, 10:51:01 AM",READY TO PUBLISH
International Documentary Association,IDA,Tier 1,Documentary Film/Series,Development,Grants/Funding Assistant,IDA Enterprise Documentary Fund,Grant,Static Program,PAUSED,https://www.documentary.org/funding,OK 200,HOLD,PAUSED 2025-2026: Under strategic review. Up to $15k dev or $100k production grants for journalistic docs. Check documentary.org/funding for reopening.,"4/20/2026, 10:51:01 AM",READY TO PUBLISH
Sundance Institute,SI,Tier 1,Documentary Film/Series,Development,,Documentary Film Program Lab,Lab,Static Program,Annual-varies,https://www.sundance.org/programs/documentary-film,OK 200,NEEDS REVIEW,Pipeline confirmed; role title TBC on review,"4/20/2026, 10:51:01 AM",DRAFT
Sundance Institute,SI,Tier 1,Documentary Film/Series,Post/Editorial,,Documentary Edit & Story Lab,Lab,Static Program,Annual-varies,https://www.sundance.org/programs/documentary-film/,OK 200,NEEDS REVIEW,Editorial lab; role title TBC on review,"4/20/2026, 10:51:01 AM",READY TO PUBLISH
Sundance Institute,SI,Tier 1,Documentary Film/Series,Development,Development Assistant,Sundance Institute Internships,Internship,Dynamic Manual,Rolling,https://www.sundance.org/jobs/,OK 200,NEEDS REVIEW,ATS portal — visit page to check current internship openings,"4/20/2026, 10:51:01 AM",DRAFT
Firelight Media,FM,Tier 1,Documentary Film/Series,Development,Story Researcher,Documentary Lab Fellowship,Fellowship,Static Program,Annual-Spring,https://www.firelightmedia.tv/documentary-lab,OK 200,VERIFIED,12-month fellowship + $25k grant; filmmakers of color; post-production stage 2026,"4/20/2026, 10:51:01 AM",DRAFT
Firelight Media,FM,Tier 1,Documentary Film/Series,Development,,Diverse Voices in Docs Fellowship,Fellowship,Static Program,Annual-varies,https://www.firelightmedia.tv/programs,OK 200,NEEDS REVIEW,Pipeline confirmed; role title TBC on review,"4/20/2026, 10:51:01 AM",READY TO PUBLISH
ITVS,ITVS,Tier 1,Public Media,Development,Grants/Funding Assistant,Open Call Funding,Grant/Development Fund,Static Program,Annual-varies,https://itvs.org/get-funded/,OK 200,NEEDS REVIEW,Development fund for independent producers; confirm entry-level fit,"4/20/2026, 10:51:01 AM",DRAFT
ITVS,ITVS,Tier 1,Public Media,Development,Development Assistant,ITVS Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://itvs.org/about/jobs,OK 200,NEEDS REVIEW,Careers page — visit to check current development/production roles,"4/20/2026, 10:51:01 AM",DRAFT
American Documentary / POV,POV,Tier 1,Public Media,Development,Grants/Funding Assistant,POV Open Call for Films,Open Call,Static Program,Annual-varies,https://amdoc.org/filmmaker-opportunities,OK 200,NEEDS REVIEW,Broadcast open call; confirm emerging filmmaker eligibility,"4/20/2026, 10:51:01 AM",READY TO PUBLISH
Points North Institute,PNI,Tier 1,Documentary Film/Series,Development,Story Researcher,Points North Fellowship,Fellowship,Static Program,Annual-varies,https://pointsnorthinstitute.org/artist-programs/,OK 200,NEEDS REVIEW,Tied to Camden International Film Festival,"4/20/2026, 10:51:01 AM",READY TO PUBLISH
UnionDocs,UD,Tier 1,Documentary Film/Series,Post/Editorial,,Collaborative Study Program,Fellowship/Lab,Static Program,Annual-Fall,https://uniondocs.org/colab/,OK 200,NEEDS REVIEW,Year-long collaborative lab; role title TBC on review,"4/20/2026, 10:51:01 AM",DRAFT
PBS,PBS,Tier 1,Public Media,Production,Production Assistant,PBS Production & Editorial Jobs,Entry-Level Job,Dynamic Manual,Rolling,https://www.pbs.org/about/about-pbs/jobs,DEAD 404,NEEDS REVIEW,ATS portal — jobs appear and disappear quickly; visit page to check,"4/20/2026, 10:51:01 AM",DRAFT
PBS,PBS,Tier 1,Public Media,Production,Production Assistant,LinkedIn: PBS Production Assistant,Entry-Level Job,Dynamic Deep Link,Rolling,https://www.linkedin.com/jobs/search/?keywords=production%20assistant%20PBS&f_E=1%2C2&f_TPR=r604800,OK 200,NEEDS REVIEW,"Pre-filtered: Entry level, posted last 7 days. Supplement to PBS careers page","4/20/2026, 10:51:01 AM",DRAFT
WGBH,WGBH,Tier 1,Public Media,Post/Editorial,,WGBH Editorial & Production Fellowship,Fellowship,Dynamic Manual,Rolling,https://www.wgbh.org/foundation/careers,OK 200,NEEDS REVIEW,Careers page — confirm fellowship name and current openings on visit,"4/20/2026, 10:51:01 AM",DRAFT
WNET,WNET,Tier 1,Public Media,Production,Production Coordinator,WNET Production Fellowships,Fellowship,Dynamic Manual,Rolling,https://www.wnet.org/about/careers,OK 202,NEEDS REVIEW,Careers page — visit to check current production fellowship openings,"4/20/2026, 10:51:01 AM",DRAFT
Frontline,FL,Tier 1,Investigative Journalism,Development,Story Researcher,Frontline Editorial Fellowship,Fellowship,Dynamic Manual,Rolling,https://www.pbs.org/wgbh/frontline/about-us/jobs,OK 200,NEEDS REVIEW,Careers page — confirm specific fellowship title on visit,"4/20/2026, 10:51:01 AM",DRAFT
Frontline,FL,Tier 1,Investigative Journalism,Production,Production Assistant,LinkedIn: Frontline Production Jobs,Entry-Level Job,Dynamic Deep Link,Rolling,https://www.linkedin.com/jobs/search/?keywords=frontline%20PBS%20production&f_E=1%2C2&f_TPR=r2592000,OK 200,NEEDS REVIEW,"Pre-filtered LinkedIn: Entry level, posted last 30 days","4/20/2026, 10:51:01 AM",DRAFT
ProPublica,PP,Tier 1,Investigative Journalism,Development,Story Researcher,ProPublica Emerging Reporters Fellowship,Fellowship,Static Program,Annual-varies,https://www.propublica.org/jobs,OK 200,NEEDS REVIEW,Confirm current fellowship name and cycle on visit,"4/20/2026, 10:51:01 AM",DRAFT
ProPublica,PP,Tier 1,Investigative Journalism,Development,Story Researcher,ProPublica Internship Program,Internship,Static Program,Annual-Spring,https://www.propublica.org/jobs,OK 200,NEEDS REVIEW,,"4/20/2026, 10:51:01 AM",DRAFT
